Image_ID,Transformation,Intensite,Algo,Distance
0,Resize_Downscale,30,pHash,0
0,Resize_Downscale,30,dHash,0
0,Resize_Downscale,30,wHash,0
0,Resize_Downscale,35,aHash,0
0,Resize_Downscale,35,pHash,0
0,Resize_Downscale,35,dHash,0
0,Resize_Downscale,35,wHash,0
0,Resize_Downscale,40,aHash,0
0,Resize_Downscale,40,pHash,0
0,Resize_Downscale,40,dHash,0
0,Resize_Downscale,40,wHash,0
0,Resize_Downscale,45,aHash,0
0,Resize_Downscale,45,pHash,0
0,Resize_Downscale,45,dHash,0
0,Resize_Downscale,45,wHash,0
0,Resize_Downscale,50,aHash,0
0,Resize_Downscale,50,pHash,0
0,Resize_Downscale,50,dHash,0
0,Resize_Downscale,50,wHash,0
0,Resize_Downscale,55,aHash,0
0,Resize_Downscale,55,pHash,0
0,Resize_Downscale,55,dHash,0
0,Resize_Downscale,55,wHash,0
0,Resize_Downscale,60,aHash,0
0,Resize_Downscale,60,pHash,0
0,Resize_Downscale,60,dHash,0
0,Resize_Downscale,60,wHash,0
0,Resize_Downscale,65,aHash,0
0,Resize_Downscale,65,pHash,2
0,Resize_Downscale,65,dHash,0
0,Resize_Downscale,65,wHash,0
0,Resize_Downscale,70,aHash,0
0,Resize_Downscale,70,pHash,0
0,Resize_Downscale,70,dHash,0
0,Resize_Downscale,70,wHash,0
0,Resize_Downscale,75,aHash,0
0,Resize_Downscale,75,pHash,0
0,Resize_Downscale,75,dHash,0
0,Resize_Downscale,75,wHash,0
0,Resize_Downscale,80,aHash,0
0,Resize_Downscale,80,pHash,0
0,Resize_Downscale,80,dHash,0
0,Resize_Downscale,80,wHash,0
0,Resize_Downscale,85,aHash,0
0,Resize_Downscale,85,pHash,0
0,Resize_Downscale,85,dHash,0
0,Resize_Downscale,85,wHash,0
0,Resize_Downscale,90,aHash,0
0,Resize_Downscale,90,pHash,0
0,Resize_Downscale,90,dHash,0
0,Resize_Downscale,90,wHash,0
0,Resize_Downscale,95,aHash,0
0,Resize_Downscale,95,pHash,0
0,Resize_Downscale,95,dHash,0
0,Resize_Downscale,95,wHash,0
0,Resize_Downscale,100,aHash,0
0,Resize_Downscale,100,pHash,0
0,Resize_Downscale,100,dHash,0
0,Resize_Downscale,100,wHash,0
0,Occlusion,0,aHash,0
0,Occlusion,0,pHash,0
0,Occlusion,0,dHash,0
0,Occlusion,0,wHash,0
0,Occlusion,5,aHash,8
0,Occlusion,5,pHash,20
0,Occlusion,5,dHash,8
0,Occlusion,5,wHash,8
0,Occlusion,10,aHash,8
0,Occlusion,10,pHash,22
0,Occlusion,10,dHash,9
0,Occlusion,10,wHash,12
0,Occlusion,15,aHash,16
0,Occlusion,15,pHash,10
0,Occlusion,15,dHash,2
0,Occlusion,15,wHash,14
0,Occlusion,20,aHash,20
0,Occlusion,20,pHash,20
0,Occlusion,20,dHash,14
0,Occlusion,20,wHash,22
0,Occlusion,25,aHash,23
0,Occlusion,25,pHash,18
0,Occlusion,25,dHash,18
0,Occlusion,25,wHash,26
0,Occlusion,30,aHash,34
0,Occlusion,30,pHash,20
0,Occlusion,30,dHash,20
0,Occlusion,30,wHash,34
0,Occlusion,35,aHash,32
0,Occlusion,35,pHash,20
0,Occlusion,35,dHash,21
0,Occlusion,35,wHash,30
0,Occlusion,40,aHash,31
0,Occlusion,40,pHash,24
0,Occlusion,40,dHash,26
0,Occlusion,40,wHash,32
0,Occlusion,45,aHash,33
0,Occlusion,45,pHash,26
0,Occlusion,45,dHash,26
0,Occlusion,45,wHash,32
0,Occlusion,50,aHash,33
0,Occlusion,50,pHash,20
0,Occlusion,50,dHash,17
