Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_hash_size,Param_mode,Distance_Hamming,Similarite_Pct
faces,0,Compression_10,Compression,10,wHash,4,coif1,4,93.75
faces,0,Compression_10,Compression,10,wHash,8,haar,0,100.0
faces,0,Compression_10,Compression,10,wHash,8,db4,10,94.89795918367346
faces,0,Compression_10,Compression,10,wHash,8,sym5,2,99.21875
faces,0,Compression_10,Compression,10,wHash,8,coif1,0,100.0
faces,0,Compression_10,Compression,10,wHash,16,haar,2,99.21875
faces,0,Compression_10,Compression,10,wHash,16,db4,18,96.28099173553719
faces,0,Compression_10,Compression,10,wHash,16,sym5,2,99.65277777777777
faces,0,Compression_10,Compression,10,wHash,16,coif1,0,100.0
faces,0,Compression_10,Compression,10,wHash,32,haar,12,98.828125
faces,0,Compression_10,Compression,10,wHash,32,db4,20,98.61495844875347
faces,0,Compression_10,Compression,10,wHash,32,sym5,16,98.94806048652202
faces,0,Compression_10,Compression,10,wHash,32,coif1,14,98.91975308641975
faces,0,Resize_50,Resize,50,wHash,4,haar,0,100.0
faces,0,Resize_50,Resize,50,wHash,4,db4,16,84.0
faces,0,Resize_50,Resize,50,wHash,4,sym5,4,97.22222222222223
faces,0,Resize_50,Resize,50,wHash,4,coif1,0,100.0
faces,0,Resize_50,Resize,50,wHash,8,haar,0,100.0
faces,0,Resize_50,Resize,50,wHash,8,db4,30,84.6938775510204
faces,0,Resize_50,Resize,50,wHash,8,sym5,2,99.21875
faces,0,Resize_50,Resize,50,wHash,8,coif1,2,98.61111111111111
faces,0,Resize_50,Resize,50,wHash,16,haar,0,100.0
faces,0,Resize_50,Resize,50,wHash,16,db4,22,95.45454545454545
faces,0,Resize_50,Resize,50,wHash,16,coif1,8,98.0
faces,0,Resize_50,Resize,50,wHash,32,haar,2,99.8046875
faces,0,Resize_75,Resize,75,wHash,4,haar,0,100.0
faces,0,Resize_75,Resize,75,wHash,4,db4,30,70.0
faces,0,Resize_75,Resize,75,wHash,4,sym5,10,93.05555555555556
faces,0,Resize_75,Resize,75,wHash,4,coif1,0,100.0
faces,0,Resize_75,Resize,75,wHash,8,haar,0,100.0
faces,0,Resize_75,Resize,75,wHash,8,db4,40,79.59183673469389
faces,0,Resize_75,Resize,75,wHash,8,coif1,6,95.83333333333333
faces,0,Resize_75,Resize,75,wHash,16,haar,0,100.0
faces,0,Resize_75,Resize,75,wHash,32,haar,10,99.0234375
faces,0,Resize_90,Resize,90,wHash,4,haar,0,100.0
faces,0,Resize_90,Resize,90,wHash,4,db4,36,64.0
faces,0,Resize_90,Resize,90,wHash,4,coif1,4,93.75
faces,0,Resize_90,Resize,90,wHash,8,haar,0,100.0
faces,0,Resize_90,Resize,90,wHash,16,haar,0,100.0
faces,0,Resize_90,Resize,90,wHash,32,haar,22,97.8515625
faces,0,Downscale_50,Downscale,50,wHash,4,haar,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,4,db4,4,96.0
faces,0,Downscale_50,Downscale,50,wHash,4,sym5,2,98.61111111111111
faces,0,Downscale_50,Downscale,50,wHash,4,coif1,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,8,haar,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,8,db4,2,98.9795918367347
faces,0,Downscale_50,Downscale,50,wHash,8,sym5,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,8,coif1,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,16,haar,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,16,db4,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,16,sym5,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,16,coif1,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,32,haar,2,99.8046875
faces,0,Downscale_50,Downscale,50,wHash,32,db4,0,100.0
faces,0,Downscale_50,Downscale,50,wHash,32,sym5,4,99.7370151216305
faces,0,Downscale_50,Downscale,50,wHash,32,coif1,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,4,haar,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,4,db4,6,94.0
faces,0,Downscale_75,Downscale,75,wHash,4,sym5,2,98.61111111111111
faces,0,Downscale_75,Downscale,75,wHash,4,coif1,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,8,haar,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,8,db4,4,97.95918367346938
faces,0,Downscale_75,Downscale,75,wHash,8,sym5,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,8,coif1,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,16,haar,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,16,db4,4,99.17355371900827
faces,0,Downscale_75,Downscale,75,wHash,16,sym5,2,99.65277777777777
faces,0,Downscale_75,Downscale,75,wHash,16,coif1,0,100.0
faces,0,Downscale_75,Downscale,75,wHash,32,haar,6,99.4140625
faces,0,Downscale_75,Downscale,75,wHash,32,db4,4,99.7229916897507
faces,0,Downscale_75,Downscale,75,wHash,32,sym5,6,99.60552268244577
faces,0,Downscale_75,Downscale,75,wHash,32,coif1,2,99.84567901234568
faces,0,Downscale_90,Downscale,90,wHash,4,haar,0,100.0
faces,0,Downscale_90,Downscale,90,wHash,4,db4,4,96.0
faces,0,Downscale_90,Downscale,90,wHash,4,sym5,2,98.61111111111111
faces,0,Downscale_90,Downscale,90,wHash,4,coif1,0,100.0
faces,0,Downscale_90,Downscale,90,wHash,8,haar,0,100.0
faces,0,Downscale_90,Downscale,90,wHash,8,db4,6,96.93877551020408
faces,0,Downscale_90,Downscale,90,wHash,8,sym5,0,100.0
faces,0,Downscale_90,Downscale,90,wHash,8,coif1,0,100.0
faces,0,Downscale_90,Downscale,90,wHash,16,haar,4,98.4375
faces,0,Downscale_90,Downscale,90,wHash,16,db4,6,98.7603305785124
faces,0,Downscale_90,Downscale,90,wHash,16,sym5,6,98.95833333333333
faces,0,Downscale_90,Downscale,90,wHash,16,coif1,0,100.0
