Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Param_hash_size,Algorithme,Distance_Hamming,Similarite_Pct
faces,0,Resize_50,Resize,50,16,dHash,2,99.21875
faces,0,Resize_50,Resize,50,24,aHash,0,100.0
faces,0,Resize_50,Resize,50,24,dHash,4,99.30555555555556
faces,0,Resize_50,Resize,50,32,aHash,1,99.90234375
faces,0,Resize_50,Resize,50,32,dHash,16,98.4375
faces,0,Resize_75,Resize,75,4,aHash,0,100.0
faces,0,Resize_75,Resize,75,4,dHash,0,100.0
faces,0,Resize_75,Resize,75,6,aHash,0,100.0
faces,0,Resize_75,Resize,75,6,dHash,0,100.0
faces,0,Resize_75,Resize,75,8,aHash,0,100.0
faces,0,Resize_75,Resize,75,8,dHash,0,100.0
faces,0,Resize_75,Resize,75,12,aHash,0,100.0
faces,0,Resize_75,Resize,75,12,dHash,0,100.0
faces,0,Resize_75,Resize,75,16,aHash,0,100.0
faces,0,Resize_75,Resize,75,16,dHash,2,99.21875
faces,0,Resize_75,Resize,75,24,aHash,0,100.0
faces,0,Resize_75,Resize,75,24,dHash,2,99.65277777777777
faces,0,Resize_75,Resize,75,32,aHash,1,99.90234375
faces,0,Resize_75,Resize,75,32,dHash,12,98.828125
faces,0,Resize_90,Resize,90,4,aHash,0,100.0
faces,0,Resize_90,Resize,90,4,dHash,0,100.0
faces,0,Resize_90,Resize,90,6,aHash,0,100.0
faces,0,Resize_90,Resize,90,6,dHash,0,100.0
faces,0,Resize_90,Resize,90,8,aHash,0,100.0
faces,0,Resize_90,Resize,90,8,dHash,0,100.0
faces,0,Resize_90,Resize,90,12,aHash,0,100.0
faces,0,Resize_90,Resize,90,12,dHash,0,100.0
faces,0,Resize_90,Resize,90,16,aHash,0,100.0
faces,0,Resize_90,Resize,90,16,dHash,5,98.046875
faces,0,Resize_90,Resize,90,24,aHash,0,100.0
faces,0,Resize_90,Resize,90,24,dHash,9,98.4375
faces,0,Resize_90,Resize,90,32,aHash,1,99.90234375
faces,0,Resize_90,Resize,90,32,dHash,22,97.8515625
faces,0,Downscale_50,Downscale,50,4,aHash,0,100.0
faces,0,Downscale_50,Downscale,50,4,dHash,0,100.0
faces,0,Downscale_50,Downscale,50,6,aHash,0,100.0
faces,0,Downscale_50,Downscale,50,6,dHash,0,100.0
faces,0,Downscale_50,Downscale,50,8,aHash,0,100.0
faces,0,Downscale_50,Downscale,50,8,dHash,1,98.4375
faces,0,Downscale_50,Downscale,50,12,aHash,0,100.0
faces,0,Downscale_50,Downscale,50,12,dHash,1,99.30555555555556
faces,0,Downscale_50,Downscale,50,16,aHash,1,99.609375
faces,0,Downscale_50,Downscale,50,16,dHash,3,98.828125
faces,0,Downscale_50,Downscale,50,24,aHash,0,100.0
faces,0,Downscale_50,Downscale,50,24,dHash,7,98.78472222222223
faces,0,Downscale_50,Downscale,50,32,aHash,1,99.90234375
faces,0,Downscale_50,Downscale,50,32,dHash,17,98.33984375
faces,0,Downscale_75,Downscale,75,4,aHash,0,100.0
faces,0,Downscale_75,Downscale,75,4,dHash,0,100.0
faces,0,Downscale_75,Downscale,75,6,aHash,0,100.0
faces,0,Downscale_75,Downscale,75,6,dHash,0,100.0
faces,0,Downscale_75,Downscale,75,8,aHash,0,100.0
faces,0,Downscale_75,Downscale,75,8,dHash,1,98.4375
faces,0,Downscale_75,Downscale,75,12,aHash,0,100.0
faces,0,Downscale_75,Downscale,75,12,dHash,2,98.61111111111111
faces,0,Downscale_75,Downscale,75,16,aHash,0,100.0
faces,0,Downscale_75,Downscale,75,16,dHash,4,98.4375
faces,0,Downscale_75,Downscale,75,24,aHash,0,100.0
faces,0,Downscale_75,Downscale,75,24,dHash,6,98.95833333333333
faces,0,Downscale_75,Downscale,75,32,aHash,4,99.609375
faces,0,Downscale_75,Downscale,75,32,dHash,17,98.33984375
faces,0,Downscale_90,Downscale,90,4,aHash,0,100.0
faces,0,Downscale_90,Downscale,90,4,dHash,0,100.0
faces,0,Downscale_90,Downscale,90,6,aHash,0,100.0
faces,0,Downscale_90,Downscale,90,6,dHash,0,100.0
faces,0,Downscale_90,Downscale,90,8,aHash,0,100.0
faces,0,Downscale_90,Downscale,90,8,dHash,1,98.4375
faces,0,Downscale_90,Downscale,90,12,aHash,0,100.0
faces,0,Downscale_90,Downscale,90,12,dHash,2,98.61111111111111
faces,0,Downscale_90,Downscale,90,16,aHash,3,98.828125
faces,0,Downscale_90,Downscale,90,16,dHash,4,98.4375
faces,0,Downscale_90,Downscale,90,24,aHash,5,99.13194444444444
faces,0,Downscale_90,Downscale,90,24,dHash,20,96.52777777777777
faces,0,Downscale_90,Downscale,90,32,aHash,12,98.828125
faces,0,Downscale_90,Downscale,90,32,dHash,60,94.140625
faces,0,Occlusion_10,Occlusion,10,4,aHash,3,81.25
faces,0,Occlusion_10,Occlusion,10,4,dHash,5,68.75
