Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_binbits,Distance,Similarite_Pct
faces,1,Occlusion_75,Occlusion,75,colorHash,2,3.0,89.28571428571429
faces,1,Occlusion_75,Occlusion,75,colorHash,3,4.0,90.47619047619048
faces,1,Occlusion_75,Occlusion,75,colorHash,4,6.0,89.28571428571429
faces,1,Occlusion_75,Occlusion,75,colorHash,5,8.0,88.57142857142857
faces,1,Occlusion_75,Occlusion,75,colorHash,6,7.0,91.66666666666667
faces,2,Original,Original,0,colorHash,2,0.0,100.0
faces,2,Original,Original,0,colorHash,3,0.0,100.0
faces,2,Original,Original,0,colorHash,4,0.0,100.0
faces,2,Original,Original,0,colorHash,5,0.0,100.0
faces,2,Original,Original,0,colorHash,6,0.0,100.0
faces,2,Compression_90,Compression,90,colorHash,2,0.0,100.0
faces,2,Compression_90,Compression,90,colorHash,3,0.0,100.0
faces,2,Compression_90,Compression,90,colorHash,4,0.0,100.0
faces,2,Compression_90,Compression,90,colorHash,5,1.0,98.57142857142857
faces,2,Compression_90,Compression,90,colorHash,6,2.0,97.61904761904762
faces,2,Compression_75,Compression,75,colorHash,2,0.0,100.0
faces,2,Compression_75,Compression,75,colorHash,3,0.0,100.0
faces,2,Compression_75,Compression,75,colorHash,4,0.0,100.0
faces,2,Compression_75,Compression,75,colorHash,5,1.0,98.57142857142857
faces,2,Compression_75,Compression,75,colorHash,6,2.0,97.61904761904762
faces,2,Compression_50,Compression,50,colorHash,2,0.0,100.0
faces,2,Compression_50,Compression,50,colorHash,3,0.0,100.0
faces,2,Compression_50,Compression,50,colorHash,4,0.0,100.0
faces,2,Compression_50,Compression,50,colorHash,5,1.0,98.57142857142857
faces,2,Compression_50,Compression,50,colorHash,6,2.0,97.61904761904762
faces,2,Compression_25,Compression,25,colorHash,2,0.0,100.0
faces,2,Compression_25,Compression,25,colorHash,3,0.0,100.0
faces,2,Compression_25,Compression,25,colorHash,4,0.0,100.0
faces,2,Compression_25,Compression,25,colorHash,5,0.0,100.0
faces,2,Compression_25,Compression,25,colorHash,6,0.0,100.0
faces,2,Compression_10,Compression,10,colorHash,2,0.0,100.0
faces,2,Compression_10,Compression,10,colorHash,3,1.0,97.61904761904762
faces,2,Compression_10,Compression,10,colorHash,4,1.0,98.21428571428571
faces,2,Compression_10,Compression,10,colorHash,5,2.0,97.14285714285714
faces,2,Compression_10,Compression,10,colorHash,6,4.0,95.23809523809524
faces,2,Resize_50,Resize,50,colorHash,2,0.0,100.0
faces,2,Resize_50,Resize,50,colorHash,3,0.0,100.0
faces,2,Resize_50,Resize,50,colorHash,4,0.0,100.0
faces,2,Resize_50,Resize,50,colorHash,5,1.0,98.57142857142857
faces,2,Resize_50,Resize,50,colorHash,6,2.0,97.61904761904762
faces,2,Resize_75,Resize,75,colorHash,2,0.0,100.0
faces,2,Resize_75,Resize,75,colorHash,3,0.0,100.0
faces,2,Resize_75,Resize,75,colorHash,4,0.0,100.0
faces,2,Resize_75,Resize,75,colorHash,5,1.0,98.57142857142857
faces,2,Resize_75,Resize,75,colorHash,6,2.0,97.61904761904762
faces,2,Resize_90,Resize,90,colorHash,2,0.0,100.0
faces,2,Resize_90,Resize,90,colorHash,3,0.0,100.0
faces,2,Resize_90,Resize,90,colorHash,4,0.0,100.0
faces,2,Resize_90,Resize,90,colorHash,5,1.0,98.57142857142857
faces,2,Resize_90,Resize,90,colorHash,6,3.0,96.42857142857143
faces,2,Downscale_50,Downscale,50,colorHash,2,0.0,100.0
faces,2,Downscale_50,Downscale,50,colorHash,3,0.0,100.0
faces,2,Downscale_50,Downscale,50,colorHash,4,0.0,100.0
faces,2,Downscale_50,Downscale,50,colorHash,5,1.0,98.57142857142857
faces,2,Downscale_50,Downscale,50,colorHash,6,2.0,97.61904761904762
faces,2,Downscale_75,Downscale,75,colorHash,2,0.0,100.0
faces,2,Downscale_75,Downscale,75,colorHash,3,0.0,100.0
faces,2,Downscale_75,Downscale,75,colorHash,4,0.0,100.0
faces,2,Downscale_75,Downscale,75,colorHash,5,1.0,98.57142857142857
faces,2,Downscale_75,Downscale,75,colorHash,6,2.0,97.61904761904762
faces,2,Downscale_90,Downscale,90,colorHash,2,0.0,100.0
faces,2,Downscale_90,Downscale,90,colorHash,3,0.0,100.0
faces,2,Downscale_90,Downscale,90,colorHash,4,0.0,100.0
faces,2,Downscale_90,Downscale,90,colorHash,5,2.0,97.14285714285714
faces,2,Downscale_90,Downscale,90,colorHash,6,2.0,97.61904761904762
faces,2,Occlusion_10,Occlusion,10,colorHash,2,0.0,100.0
faces,2,Occlusion_10,Occlusion,10,colorHash,3,1.0,97.61904761904762
faces,2,Occlusion_10,Occlusion,10,colorHash,4,2.0,96.42857142857143
faces,2,Occlusion_10,Occlusion,10,colorHash,5,5.0,92.85714285714286
faces,2,Occlusion_10,Occlusion,10,colorHash,6,4.0,95.23809523809524
faces,2,Occlusion_25,Occlusion,25,colorHash,2,4.0,85.71428571428572
faces,2,Occlusion_25,Occlusion,25,colorHash,3,5.0,88.0952380952381
faces,2,Occlusion_25,Occlusion,25,colorHash,4,5.0,91.07142857142857
faces,2,Occlusion_25,Occlusion,25,colorHash,5,8.0,88.57142857142857
faces,2,Occlusion_25,Occlusion,25,colorHash,6,7.0,91.66666666666667
